date,admin1,admin2,market,price,usdprice
2012-04-15,Tamil Nadu,Chennai,Chennai,18.78,0.36
2012-04-15,Tamil Nadu,Dindigul,Dindigul,21.61,0.42
2012-04-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,21.17,0.41
2012-07-15,Tamil Nadu,Chennai,Chennai,25.77,0.47
2012-07-15,Tamil Nadu,Dindigul,Dindigul,24.18,0.44
2012-07-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,24.55,0.45
2012-08-15,Tamil Nadu,Chennai,Chennai,15.94,0.29
2012-08-15,Tamil Nadu,Dindigul,Dindigul,12.5,0.22
2012-08-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,11.89,0.21
2012-09-15,Tamil Nadu,Chennai,Chennai,14.7,0.28
2012-09-15,Tamil Nadu,Dindigul,Dindigul,11.8,0.22
2012-09-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.1,0.23
2012-10-15,Tamil Nadu,Chennai,Chennai,12.5,0.24
2012-10-15,Tamil Nadu,Dindigul,Dindigul,10.3,0.19
2012-10-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,7.95,0.15
2012-11-15,Tamil Nadu,Chennai,Chennai,18.7,0.34
2012-11-15,Tamil Nadu,Dindigul,Dindigul,15.75,0.29
2012-11-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.95,0.24
2012-12-15,Tamil Nadu,Chennai,Chennai,21.07,0.39
2012-12-15,Tamil Nadu,Dindigul,Dindigul,15.0,0.28
2012-12-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,11.0,0.2
2013-01-15,Tamil Nadu,Chennai,Chennai,15.18,0.28
2013-01-15,Tamil Nadu,Dindigul,Dindigul,12.89,0.24
2013-01-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,9.75,0.18
2013-02-15,Tamil Nadu,Chennai,Chennai,9.95,0.18
2013-02-15,Tamil Nadu,Dindigul,Dindigul,10.0,0.18
2013-02-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,8.75,0.16
2013-03-15,Tamil Nadu,Chennai,Chennai,7.74,0.14
2013-03-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,6.05,0.11
2013-04-15,Tamil Nadu,Chennai,Chennai,16.47,0.3
2013-04-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,10.94,0.2
2013-05-15,Tamil Nadu,Chennai,Chennai,43.52,0.79
2013-05-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,30.81,0.56
2013-06-15,Tamil Nadu,Chennai,Chennai,48.94,0.85
2013-06-15,Tamil Nadu,Dindigul,Dindigul,47.0,0.82
2013-06-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,40.24,0.7
2013-07-15,Tamil Nadu,Chennai,Chennai,33.91,0.57
2013-07-15,Tamil Nadu,Dindigul,Dindigul,29.83,0.5
2013-07-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,27.91,0.47
2013-08-15,Tamil Nadu,Chennai,Chennai,16.74,0.27
2013-08-15,Tamil Nadu,Dindigul,Dindigul,13.0,0.21
2013-08-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.63,0.21
2013-09-15,Tamil Nadu,Chennai,Chennai,22.26,0.35
2013-09-15,Tamil Nadu,Dindigul,Dindigul,12.47,0.2
2013-09-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.95,0.21
2013-10-15,Tamil Nadu,Chennai,Chennai,37.45,0.61
2013-10-15,Tamil Nadu,Dindigul,Dindigul,18.8,0.3
2013-10-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,23.3,0.38
2013-11-15,Tamil Nadu,Chennai,Chennai,38.32,0.61
2013-11-15,Tamil Nadu,Dindigul,Dindigul,27.25,0.43
2013-11-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,28.9,0.46
2013-12-15,Tamil Nadu,Chennai,Chennai,22.0,0.36
2013-12-15,Tamil Nadu,Dindigul,Dindigul,16.29,0.26
2013-12-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,17.5,0.28
2014-01-15,Tamil Nadu,Chennai,Chennai,9.24,0.15
2014-01-15,Tamil Nadu,Dindigul,Dindigul,8.33,0.14
2014-01-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,6.5,0.11
2014-02-15,Tamil Nadu,Chennai,Chennai,8.9,0.14
2014-02-15,Tamil Nadu,Dindigul,Dindigul,5.16,0.08
2014-02-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,5.6,0.09
2014-03-15,Tamil Nadu,Chennai,Chennai,8.77,0.14
2014-03-15,Tamil Nadu,Dindigul,Dindigul,5.53,0.09
2014-03-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,5.2,0.08
2014-04-15,Tamil Nadu,Chennai,Chennai,17.42,0.29
2014-04-15,Tamil Nadu,Dindigul,Dindigul,12.38,0.21
2014-04-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.33,0.2
2014-05-15,Tamil Nadu,Chennai,Chennai,18.22,0.31
2014-05-15,Tamil Nadu,Dindigul,Dindigul,13.33,0.22
2014-05-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,14.13,0.24
2014-06-15,Tamil Nadu,Chennai,Chennai,15.79,0.26
2014-06-15,Tamil Nadu,Dindigul,Dindigul,13.2,0.22
2014-06-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.47,0.21
2014-07-15,Tamil Nadu,Chennai,Chennai,46.0,0.76
2014-07-15,Tamil Nadu,Dindigul,Dindigul,30.09,0.5
2014-08-15,Tamil Nadu,Chennai,Chennai,42.27,0.7
2014-08-15,Tamil Nadu,Dindigul,Dindigul,35.38,0.58
2014-09-15,Tamil Nadu,Chennai,Chennai,19.86,0.33
2014-09-15,Tamil Nadu,Dindigul,Dindigul,16.5,0.27
2014-10-15,Tamil Nadu,Chennai,Chennai,14.44,0.24
2014-10-15,Tamil Nadu,Dindigul,Dindigul,11.25,0.18
2014-11-15,Tamil Nadu,Chennai,Chennai,18.0,0.29
2014-11-15,Tamil Nadu,Dindigul,Dindigul,13.18,0.21
2014-12-15,Tamil Nadu,Chennai,Chennai,19.5,0.31
2014-12-15,Tamil Nadu,Dindigul,Dindigul,16.59,0.26
2015-01-15,Tamil Nadu,Chennai,Chennai,17.41,0.28
2015-01-15,Tamil Nadu,Dindigul,Dindigul,12.94,0.21
2015-01-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,13.12,0.21
2015-02-15,Tamil Nadu,Chennai,Chennai,12.5,0.2
2015-02-15,Tamil Nadu,Dindigul,Dindigul,10.5,0.17
2015-02-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,11.0,0.18
2015-03-15,Tamil Nadu,Chennai,Chennai,11.95,0.19
2015-03-15,Tamil Nadu,Dindigul,Dindigul,8.67,0.14
2015-03-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,9.52,0.15
2015-04-15,Tamil Nadu,Chennai,Chennai,16.33,0.26
2015-04-15,Tamil Nadu,Dindigul,Dindigul,13.84,0.22
2015-04-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,14.42,0.23
2015-05-15,Tamil Nadu,Chennai,Chennai,28.94,0.46
2015-05-15,Tamil Nadu,Dindigul,Dindigul,24.89,0.39
2015-05-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,24.89,0.39
2015-06-15,Tamil Nadu,Chennai,Chennai,24.64,0.38
2015-06-15,Tamil Nadu,Dindigul,Dindigul,22.77,0.36
2015-06-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,22.05,0.34
2015-07-15,Tamil Nadu,Chennai,Chennai,26.23,0.41
2015-07-15,Tamil Nadu,Dindigul,Dindigul,23.36,0.37
2015-07-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,22.27,0.35
2015-08-15,Tamil Nadu,Chennai,Chennai,12.6,0.19
2015-08-15,Tamil Nadu,Dindigul,Dindigul,15.19,0.23
2015-08-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,10.38,0.16
2015-09-15,Tamil Nadu,Chennai,Chennai,16.05,0.24
2015-09-15,Tamil Nadu,Dindigul,Dindigul,11.95,0.18
2015-09-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,10.32,0.16
2015-10-15,Tamil Nadu,Chennai,Chennai,27.84,0.43
2015-10-15,Tamil Nadu,Dindigul,Dindigul,22.16,0.34
2015-10-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,20.83,0.32
2015-11-15,Tamil Nadu,Chennai,Chennai,55.61,0.84
2015-11-15,Tamil Nadu,Dindigul,Dindigul,44.86,0.68
2015-11-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,41.96,0.64
2015-12-15,Tamil Nadu,Chennai,Chennai,31.72,0.47
2015-12-15,Tamil Nadu,Dindigul,Dindigul,28.57,0.43
2015-12-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,21.95,0.33
2016-01-15,Tamil Nadu,Chennai,Chennai,35.31,0.52
2016-01-15,Tamil Nadu,Dindigul,Dindigul,30.68,0.45
2016-01-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,26.14,0.39
2016-02-15,Tamil Nadu,Chennai,Chennai,11.75,0.17
2016-02-15,Tamil Nadu,Dindigul,Dindigul,10.48,0.15
2016-02-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,9.21,0.13
2016-03-15,Tamil Nadu,Chennai,Chennai,10.53,0.16
2016-03-15,Tamil Nadu,Dindigul,Dindigul,10.0,0.15
2016-03-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,8.71,0.13
2016-04-15,Tamil Nadu,Chennai,Chennai,17.67,0.27
2016-04-15,Tamil Nadu,Dindigul,Dindigul,14.73,0.22
2016-04-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,14.67,0.22
2016-05-15,Tamil Nadu,Chennai,Chennai,48.23,0.72
2016-05-15,Tamil Nadu,Dindigul,Dindigul,40.33,0.6
2016-05-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,42.28,0.63
2016-06-15,Tamil Nadu,Chennai,Chennai,49.67,0.74
2016-06-15,Tamil Nadu,Dindigul,Dindigul,46.67,0.7
2016-06-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,46.13,0.69
2016-07-15,Tamil Nadu,Chennai,Chennai,24.32,0.36
2016-07-15,Tamil Nadu,Dindigul,Dindigul,22.42,0.33
2016-07-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,19.19,0.29
2016-08-15,Tamil Nadu,Chennai,Chennai,10.13,0.15
2016-08-15,Tamil Nadu,Dindigul,Dindigul,10.35,0.15
2016-08-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,8.0,0.12
2016-09-15,Tamil Nadu,Chennai,Chennai,16.0,0.24
2016-09-15,Tamil Nadu,Dindigul,Dindigul,13.97,0.21
2016-09-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.14,0.18
2016-10-15,Tamil Nadu,Chennai,Chennai,18.24,0.27
2016-10-15,Tamil Nadu,Dindigul,Dindigul,15.8,0.24
2016-10-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,13.31,0.2
2016-11-15,Tamil Nadu,Chennai,Chennai,10.03,0.15
2016-11-15,Tamil Nadu,Dindigul,Dindigul,10.57,0.16
2016-11-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,8.76,0.13
2016-12-15,Tamil Nadu,Chennai,Chennai,10.75,0.16
2016-12-15,Tamil Nadu,Dindigul,Dindigul,9.5,0.14
2016-12-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,8.67,0.13
2017-01-15,Tamil Nadu,Chennai,Chennai,15.52,0.23
2017-01-15,Tamil Nadu,Dindigul,Dindigul,14.1,0.21
2017-01-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,12.87,0.19
2017-02-15,Tamil Nadu,Chennai,Chennai,27.11,0.41
2017-02-15,Tamil Nadu,Dindigul,Dindigul,25.04,0.37
2017-02-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,22.46,0.34
2017-03-15,Tamil Nadu,Chennai,Chennai,26.19,0.4
2017-03-15,Tamil Nadu,Dindigul,Dindigul,24.74,0.38
2017-03-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,21.1,0.32
2017-04-15,Tamil Nadu,Chennai,Chennai,15.29,0.24
2017-04-15,Tamil Nadu,Dindigul,Dindigul,17.9,0.28
2017-04-15,Tamil Nadu,Tiruchchirappalli,Thiruchirapalli,14.17,0.22
2017-05-15,Tamil Nadu,Chennai,Chennai,11.37,0.18
2017-05-15,Tamil Nadu,Dindigul,Dindigul,11.48,0.18
